GAME_DATE,MATCHUP,WL,MIN,BLK,SEASON_TYPE,OPP,HOME,OPP_PACE,OPP_RIM_FGA,MIN_EMA_5,BLK_EMA_5,Block_Stat
2026-03-22,NYK vs. WAS,W,26,0,Regular Season,WAS,1,102.49,24.7,30.770943769355384,0.501738804698229,0
2026-03-24,NYK vs. NOP,W,24,0,Regular Season,NOP,1,101.37,34.8,29.180629179570257,0.334492536465486,0
2026-03-26,NYK @ CHA,L,22,0,Regular Season,CHA,0,97.59,23.2,27.453752786380175,0.22299502431032403,0
2026-03-29,NYK @ OKC,L,34,0,Regular Season,OKC,0,100.37,24.9,25.63583519092012,0.14866334954021604,0
2026-03-31,NYK @ HOU,L,34,0,Regular Season,HOU,0,96.98,24.5,28.42389012728008,0.09910889969347737,0
2026-04-01,NYK @ MEM,W,29,1,Regular Season,MEM,0,101.69,22.9,30.28259341818672,0.0660725997956516,1
2026-04-06,NYK @ ATL,W,32,1,Regular Season,ATL,0,102.5,26.5,29.85506227879115,0.37738173319710105,1
2026-04-09,NYK vs. BOS,W,30,0,Regular Season,BOS,1,95.58,19.0,30.5700415191941,0.584921155464734,0
2026-04-10,NYK vs. TOR,W,30,0,Regular Season,TOR,1,99.22,26.7,30.380027679462735,0.38994743697648937,0
2026-04-18,NYK vs. ATL,W,33,3,Playoffs,ATL,1,102.5,26.5,30.253351786308492,0.2599649579843263,1
2026-04-20,NYK vs. ATL,L,34,2,Playoffs,ATL,1,102.5,26.5,31.16890119087233,1.1733099719895508,1
2026-04-23,NYK @ ATL,L,34,2,Playoffs,ATL,0,102.5,26.5,32.112600793914886,1.4488733146597006,1
2026-04-25,NYK @ ATL,W,29,0,Playoffs,ATL,0,102.5,26.5,32.74173386260993,1.6325822097731337,0
2026-04-28,NYK vs. ATL,W,34,2,Playoffs,ATL,1,102.5,26.5,31.494489241739952,1.088388139848756,1
2026-04-30,NYK @ ATL,W,28,1,Playoffs,ATL,0,102.5,26.5,32.3296594944933,1.3922587598991707,1
2026-05-04,NYK vs. PHI,W,20,2,Playoffs,PHI,1,100.39,28.7,30.886439662995535,1.2615058399327805,1
2026-05-06,NYK vs. PHI,W,27,0,Playoffs,PHI,1,100.39,28.7,27.257626441997026,1.5076705599551872,0
2026-05-08,NYK @ PHI,W,26,1,Playoffs,PHI,0,100.39,28.7,27.17175096133135,1.0051137066367917,1
2026-05-10,NYK @ PHI,W,20,2,Playoffs,PHI,0,100.39,28.7,26.781167307554234,1.0034091377578611,1
2026-05-19,NYK vs. CLE,W,40,1,Playoffs,CLE,1,100.7,25.9,24.52077820503616,1.3356060918385741,1
2026-05-21,NYK vs. CLE,W,36,0,Playoffs,CLE,1,100.7,25.9,29.68051880335744,1.2237373945590495,0
2026-05-23,NYK @ CLE,W,36,1,Playoffs,CLE,0,100.7,25.9,31.78701253557163,0.815824929706033,1
2026-05-25,NYK @ CLE,W,26,2,Playoffs,CLE,0,100.7,25.9,33.19134169038109,0.8772166198040221,1
