TEAM_ABBR,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,SEASON,SEASON_TYPE
HOU,19.3,30.1,0.643,8.1,19.6,0.412,2.7,7.2,0.379,1.2,3.0,0.38,0.9,2.6,0.338,8.4,26.1,0.321,0.0,0.2,0.0,2022-23,Regular Season
IND,18.6,29.1,0.64,6.2,14.8,0.417,3.7,8.7,0.421,1.6,4.4,0.366,1.8,4.5,0.402,10.1,27.9,0.363,0.0,0.2,0.125,2022-23,Regular Season
,15.7,24.0,0.653,7.1,15.6,0.453,5.6,13.1,0.429,1.7,4.8,0.365,1.7,3.9,0.444,9.2,24.5,0.377,0.0,0.2,0.067,2022-23,Regular Season
LAL,20.4,29.7,0.686,6.9,15.7,0.436,4.9,12.4,0.392,1.4,4.0,0.345,1.5,3.9,0.384,7.9,23.1,0.34,0.0,0.1,0.0,2022-23,Regular Season
MEM,19.3,29.6,0.65,9.9,21.8,0.455,2.5,6.4,0.393,2.1,5.3,0.387,1.2,3.6,0.349,8.7,25.1,0.346,0.0,0.2,0.067,2022-23,Regular Season
MIA,13.9,21.2,0.657,9.2,19.3,0.48,4.1,10.0,0.408,1.8,5.1,0.362,1.7,4.5,0.378,8.4,25.0,0.335,0.0,0.1,0.0,2022-23,Regular Season
MIL,17.3,25.1,0.688,5.7,13.3,0.43,4.9,11.7,0.418,1.8,4.8,0.369,1.9,4.9,0.381,11.2,30.5,0.368,0.0,0.1,0.0,2022-23,Regular Season
MIN,20.0,29.2,0.685,7.1,16.4,0.434,3.7,8.6,0.424,1.8,4.5,0.401,1.5,4.0,0.371,8.8,24.4,0.36,0.0,0.3,0.0,2022-23,Regular Season
NOP,18.6,28.0,0.666,8.0,18.5,0.435,4.4,11.1,0.398,1.3,3.4,0.384,1.4,3.8,0.365,8.2,22.6,0.365,0.0,0.2,0.0,2022-23,Regular Season
NYK,17.8,27.3,0.651,8.3,18.0,0.462,3.4,8.6,0.395,2.1,5.1,0.404,1.8,5.1,0.353,8.7,25.3,0.344,0.0,0.1,0.0,2022-23,Regular Season
