SEASON_ID,Player_ID,Game_ID,GAME_DATE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,OPP,HOME,Block_Stat,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,OPP_PACE,USAGE_PROXY,FG3A_RATE,FTA_RATE,REB_PER_MIN,PTS_PER_MIN,AST_PER_MIN
22022,1626157,0022201121,2023-03-26,32,5,16,0.313,4,9,0.444,0,0,0.0,0,5,5,3,2,0,3,2,14,7,1,2022-23,Regular Season,GSW,0,0,14.9,21.3,0.7,7.5,15.8,0.475,4.1,9.9,0.413,1.8,4.9,0.368,1.8,4.1,0.43,13.0,33.9,0.385,0.0,0.3,0.043,102.54,19.0,0.5625,0.0,0.15625,0.4375,0.09375
22022,1626157,0022201144,2023-03-29,34,9,17,0.529,5,10,0.5,2,2,1.0,3,5,8,2,0,0,6,3,25,2,1,2022-23,Regular Season,PHX,0,0,13.7,20.8,0.655,9.4,21.0,0.447,6.9,15.7,0.438,2.4,5.4,0.449,1.7,4.4,0.386,8.1,22.7,0.357,0.0,0.2,0.0,98.83,23.88,0.5882352941176471,0.11764705882352941,0.23529411764705882,0.7352941176470589,0.058823529411764705
22022,1626157,0022201157,2023-03-31,36,8,18,0.444,2,7,0.286,5,5,1.0,4,4,8,3,0,0,1,5,23,-6,1,2022-23,Regular Season,LAL,1,0,20.4,29.7,0.686,6.9,15.7,0.436,4.9,12.4,0.392,1.4,4.0,0.345,1.5,3.9,0.384,7.9,23.1,0.34,0.0,0.1,0.0,101.92,21.2,0.3888888888888889,0.2777777777777778,0.2222222222222222,0.6388888888888888,0.08333333333333333
22022,1626157,0022201166,2023-04-02,25,1,3,0.333,1,1,1.0,5,8,0.625,2,7,9,3,0,0,3,5,8,2,1,2022-23,Regular Season,POR,1,0,18.5,28.6,0.648,5.3,12.8,0.417,3.7,8.8,0.425,1.3,3.7,0.346,1.5,4.1,0.375,10.1,27.4,0.368,0.0,0.1,0.0,99.25,9.52,0.3333333333333333,2.6666666666666665,0.36,0.32,0.12
22022,1626157,0022201180,2023-04-04,31,8,15,0.533,1,3,0.333,5,6,0.833,1,13,14,5,0,0,1,3,22,4,1,2022-23,Regular Season,BKN,0,0,15.0,22.4,0.667,7.0,15.3,0.462,6.7,13.6,0.489,1.7,4.4,0.396,1.6,4.1,0.394,9.4,25.2,0.373,0.0,0.1,0.0,98.77,18.64,0.2,0.4,0.45161290322580644,0.7096774193548387,0.16129032258064516
22022,1626157,0022201214,2023-04-08,28,10,19,0.526,2,6,0.333,0,0,0.0,0,8,8,8,0,2,2,2,22,30,1,2022-23,Regular Season,SAS,0,1,18.8,29.0,0.646,9.0,21.0,0.431,4.2,10.4,0.401,1.5,3.9,0.385,1.2,3.3,0.357,8.4,24.7,0.34,0.0,0.2,0.0,102.07,21.0,0.3157894736842105,0.0,0.2857142857142857,0.7857142857142857,0.2857142857142857
22022,1626157,0022201225,2023-04-09,36,10,19,0.526,5,8,0.625,5,6,0.833,2,6,8,2,0,1,2,5,30,4,1,2022-23,Regular Season,NOP,1,1,18.6,28.0,0.666,8.0,18.5,0.435,4.4,11.1,0.398,1.3,3.4,0.384,1.4,3.8,0.365,8.2,22.6,0.365,0.0,0.2,0.0,99.58,23.64,0.42105263157894735,0.3157894736842105,0.2222222222222222,0.8333333333333334,0.05555555555555555
42022,1626157,0042200141,2023-04-16,30,5,15,0.333,1,7,0.143,0,2,0.0,1,9,10,2,0,0,4,2,11,-11,1,2022-23,Playoffs,DEN,0,0,15.4,22.6,0.681,10.6,22.1,0.477,5.1,11.3,0.451,1.4,4.0,0.35,1.2,3.1,0.387,8.7,22.6,0.383,0.0,0.3,0.0,95.18,19.880000000000003,0.4666666666666667,0.13333333333333333,0.3333333333333333,0.36666666666666664,0.06666666666666667
42022,1626157,0042200142,2023-04-19,34,3,12,0.25,2,5,0.4,2,2,1.0,1,11,12,2,0,1,5,5,10,-9,1,2022-23,Playoffs,DEN,0,1,15.4,22.6,0.681,10.6,22.1,0.477,5.1,11.3,0.451,1.4,4.0,0.35,1.2,3.1,0.387,8.7,22.6,0.383,0.0,0.3,0.0,95.18,17.880000000000003,0.4166666666666667,0.16666666666666666,0.35294117647058826,0.29411764705882354,0.058823529411764705
42022,1626157,0042200143,2023-04-21,42,10,17,0.588,2,4,0.5,5,5,1.0,1,6,7,1,1,1,4,2,27,-10,1,2022-23,Playoffs,DEN,1,1,15.4,22.6,0.681,10.6,22.1,0.477,5.1,11.3,0.451,1.4,4.0,0.35,1.2,3.1,0.387,8.7,22.6,0.383,0.0,0.3,0.0,95.18,23.2,0.23529411764705882,0.29411764705882354,0.16666666666666666,0.6428571428571429,0.023809523809523808
42022,1626157,0042200144,2023-04-23,36,5,9,0.556,0,2,0.0,7,10,0.7,2,9,11,2,1,1,2,6,17,-7,1,2022-23,Playoffs,DEN,1,1,15.4,22.6,0.681,10.6,22.1,0.477,5.1,11.3,0.451,1.4,4.0,0.35,1.2,3.1,0.387,8.7,22.6,0.383,0.0,0.3,0.0,95.18,15.4,0.2222222222222222,1.1111111111111112,0.3055555555555556,0.4722222222222222,0.05555555555555555
42022,1626157,0042200145,2023-04-25,38,9,17,0.529,1,6,0.167,7,9,0.778,1,10,11,3,1,1,3,6,26,-9,1,2022-23,Playoffs,DEN,0,1,15.4,22.6,0.681,10.6,22.1,0.477,5.1,11.3,0.451,1.4,4.0,0.35,1.2,3.1,0.387,8.7,22.6,0.383,0.0,0.3,0.0,95.18,23.96,0.35294117647058826,0.5294117647058824,0.2894736842105263,0.6842105263157895,0.07894736842105263
22023,1626157,0022300069,2023-10-25,36,8,25,0.32,2,10,0.2,1,1,1.0,2,8,10,3,0,4,4,2,19,-1,1,2023-24,Regular Season,TOR,0,1,19.2,28.5,0.675,7.8,18.9,0.412,3.8,9.2,0.406,1.7,4.3,0.385,1.6,4.4,0.369,8.2,24.2,0.339,0.0,0.1,0.0,99.91,29.44,0.4,0.04,0.2777777777777778,0.5277777777777778,0.08333333333333333
22023,1626157,0022300093,2023-10-28,31,5,12,0.417,1,4,0.25,1,2,0.5,0,10,10,2,1,0,1,3,12,6,1,2023-24,Regular Season,MIA,1,0,13.5,21.4,0.634,10.0,20.7,0.486,3.8,9.9,0.38,2.1,5.2,0.402,1.9,4.9,0.383,8.5,23.5,0.362,0.0,0.1,0.0,96.88,13.88,0.3333333333333333,0.16666666666666666,0.3225806451612903,0.3870967741935484,0.06451612903225806
22023,1626157,0022300104,2023-10-30,36,7,17,0.412,1,3,0.333,1,1,1.0,2,8,10,3,1,0,0,2,16,-8,1,2023-24,Regular Season,ATL,0,0,16.9,27.1,0.623,8.2,18.7,0.44,4.2,9.0,0.468,2.1,5.9,0.36,1.9,4.7,0.404,9.7,26.9,0.36,0.0,0.2,0.0,100.84,17.44,0.17647058823529413,0.058823529411764705,0.2777777777777778,0.4444444444444444,0.08333333333333333
22023,1626157,0022300123,2023-11-01,31,7,19,0.368,1,4,0.25,6,6,1.0,2,6,8,4,2,0,1,2,21,22,1,2023-24,Regular Season,DEN,1,0,18.6,28.6,0.651,8.1,16.7,0.488,5.6,12.3,0.455,1.5,4.3,0.361,1.4,3.5,0.413,8.7,23.2,0.376,0.0,0.3,0.0,97.43,22.64,0.21052631578947367,0.3157894736842105,0.25806451612903225,0.6774193548387096,0.12903225806451613
22023,1626157,0022300138,2023-11-04,32,7,14,0.5,2,6,0.333,9,10,0.9,0,7,7,1,2,0,2,4,25,24,1,2023-24,Regular Season,UTA,1,0,16.7,24.4,0.687,9.9,22.3,0.444,2.4,6.7,0.358,2.2,5.3,0.418,1.9,5.2,0.36,8.8,25.8,0.343,0.0,0.2,0.0,100.26,20.4,0.42857142857142855,0.7142857142857143,0.21875,0.78125,0.03125
22023,1626157,0022300154,2023-11-06,28,3,10,0.3,1,7,0.143,0,0,0.0,0,10,10,3,0,0,7,6,7,-5,1,2023-24,Regular Season,BOS,1,0,16.9,24.1,0.703,6.6,14.6,0.454,3.9,9.1,0.431,1.9,4.6,0.421,2.1,4.7,0.439,12.5,33.0,0.377,0.0,0.1,0.091,97.98,17.0,0.7,0.0,0.35714285714285715,0.25,0.10714285714285714
22023,1626157,0022300166,2023-11-08,28,9,12,0.75,4,5,0.8,1,2,0.5,0,3,3,0,0,1,3,6,23,12,1,2023-24,Regular Season,NOP,1,1,17.6,26.7,0.659,8.1,18.3,0.441,4.4,9.8,0.445,1.7,4.1,0.429,2.1,5.0,0.424,8.6,23.4,0.37,0.0,0.3,0.045,98.7,15.88,0.4166666666666667,0.16666666666666666,0.10714285714285714,0.8214285714285714,0.0
22023,1626157,0022300013,2023-11-10,34,11,21,0.524,3,7,0.429,4,4,1.0,1,11,12,2,0,0,3,1,29,1,1,2023-24,Regular Season,SAS,0,0,18.4,27.9,0.66,7.3,16.8,0.435,3.6,9.6,0.372,1.6,4.5,0.37,1.7,4.4,0.386,9.3,27.3,0.34,0.0,0.2,0.0,101.8,25.76,0.3333333333333333,0.19047619047619047,0.35294117647058826,0.8529411764705882,0.058823529411764705
22023,1626157,0022300186,2023-11-12,37,8,14,0.571,2,3,0.667,3,3,1.0,2,12,14,3,2,1,1,1,21,11,1,2023-24,Regular Season,GSW,0,1,16.1,22.9,0.703,8.2,18.6,0.441,4.6,11.3,0.41,1.3,3.7,0.361,1.3,3.1,0.417,12.1,31.9,0.38,0.0,0.2,0.067,99.91,16.32,0.21428571428571427,0.21428571428571427,0.3783783783783784,0.5675675675675675,0.08108108108108109
22023,1626157,0022300025,2023-11-14,42,12,26,0.462,5,12,0.417,4,4,1.0,1,10,11,2,2,0,5,1,33,8,1,2023-24,Regular Season,GSW,0,0,16.1,22.9,0.703,8.2,18.6,0.441,4.6,11.3,0.41,1.3,3.7,0.361,1.3,3.1,0.417,12.1,31.9,0.38,0.0,0.2,0.067,99.91,32.760000000000005,0.46153846153846156,0.15384615384615385,0.2619047619047619,0.7857142857142857,0.047619047619047616
22023,1626157,0022300197,2023-11-15,31,10,17,0.588,0,4,0.0,5,5,1.0,1,6,7,2,0,0,1,3,25,-14,1,2023-24,Regular Season,PHX,0,0,15.6,23.1,0.675,7.9,16.7,0.474,6.6,13.8,0.474,1.9,4.5,0.424,1.5,3.8,0.384,9.0,24.2,0.374,0.0,0.0,0.0,99.0,20.2,0.23529411764705882,0.29411764705882354,0.22580645161290322,0.8064516129032258,0.06451612903225806
22023,1626157,0022300203,2023-11-18,33,10,11,0.909,2,2,1.0,7,8,0.875,2,4,6,9,0,2,0,5,29,9,1,2023-24,Regular Season,NOP,0,1,17.6,26.7,0.659,8.1,18.3,0.441,4.4,9.8,0.445,1.7,4.1,0.429,2.1,5.0,0.424,8.6,23.4,0.37,0.0,0.3,0.045,98.7,14.52,0.18181818181818182,0.7272727272727273,0.18181818181818182,0.8787878787878788,0.2727272727272727
22023,1626157,0022300221,2023-11-20,36,6,10,0.6,2,3,0.667,6,7,0.857,0,5,5,4,3,2,3,6,20,14,1,2023-24,Regular Season,NYK,1,1,16.2,25.7,0.631,8.2,18.0,0.459,3.6,9.2,0.392,2.1,5.4,0.39,2.0,4.8,0.425,9.0,25.5,0.355,0.0,0.1,0.125,95.96,16.08,0.3,0.7,0.1388888888888889,0.5555555555555556,0.1111111111111111
22023,1626157,0022300232,2023-11-22,36,9,19,0.474,1,2,0.5,4,5,0.8,0,11,11,3,2,2,4,5,23,18,1,2023-24,Regular Season,PHI,1,1,17.7,28.0,0.631,7.5,17.9,0.42,4.2,10.2,0.416,1.5,3.8,0.387,1.5,3.7,0.407,9.1,25.7,0.354,0.0,0.1,0.0,98.17,25.2,0.10526315789473684,0.2631578947368421,0.3055555555555556,0.6388888888888888,0.08333333333333333
22023,1626157,0022300050,2023-11-24,38,9,15,0.6,4,5,0.8,5,5,1.0,1,10,11,4,0,0,4,3,27,-8,1,2023-24,Regular Season,SAC,1,0,16.1,23.4,0.687,9.4,19.4,0.482,3.5,8.8,0.399,2.2,5.7,0.388,1.6,4.3,0.382,10.5,29.2,0.36,0.0,0.1,0.0,99.46,21.2,0.3333333333333333,0.3333333333333333,0.2894736842105263,0.7105263157894737,0.10526315789473684
